densidade,batch_id,id,timestamp,timedelta
12549420,4419,1,2021-06-11T13:54:32,136472
12642210,4428,1,2021-06-11T14:39:32,139172
12861628,4437,1,2021-06-11T15:24:33,141873
13009370,4446,1,2021-06-11T16:09:32,144572
13264081,4455,1,2021-06-11T16:54:32,147272
13400852,4464,1,2021-06-11T17:39:32,149972
13683626,4473,1,2021-06-11T18:24:34,152674
14935976,4482,1,2021-06-11T22:03:09,165789
15178543,4491,1,2021-06-11T22:48:09,168489
15442910,4500,1,2021-06-11T23:33:09,171189
15848740,4509,1,2021-06-12T00:18:09,173889
16150956,4518,1,2021-06-12T01:03:09,176589
16416255,4527,1,2021-06-12T01:48:10,179290
16920792,4536,1,2021-06-12T02:33:09,181989
17400652,4545,1,2021-06-12T03:18:09,184689
17794588,4554,1,2021-06-12T04:03:09,187389
18280240,4563,1,2021-06-12T04:48:09,190089
18848860,4572,1,2021-06-12T05:33:09,192789
19279192,4581,1,2021-06-12T06:18:09,195489
19747512,4590,1,2021-06-12T07:03:09,198189
20370606,4599,1,2021-06-12T07:48:10,200890
20858694,4608,1,2021-06-12T08:33:10,203590
21563424,4617,1,2021-06-12T09:18:09,206289
22122890,4626,1,2021-06-12T10:03:10,208990
22731762,4635,1,2021-06-12T10:48:09,211689
23507604,4644,1,2021-06-12T11:33:11,214391
23939516,4653,1,2021-06-12T12:18:09,217089
24808208,4662,1,2021-06-12T13:03:09,219789
25530056,4671,1,2021-06-12T13:48:09,222489
26182474,4680,1,2021-06-12T14:33:09,225189
27101316,4689,1,2021-06-12T15:18:09,227889
27883764,4698,1,2021-06-12T16:03:11,230591
28660160,4707,1,2021-06-12T16:48:10,233290
29544966,4716,1,2021-06-12T17:33:10,235990
30344822,4725,1,2021-06-12T18:18:09,238689
31386198,4734,1,2021-06-12T19:03:09,241389
32209764,4743,1,2021-06-12T19:48:09,244089
33107852,4752,1,2021-06-12T20:33:09,246789
33991728,4761,1,2021-06-12T21:18:11,249491
34808804,4770,1,2021-06-12T22:03:09,252189
35802912,4779,1,2021-06-12T22:48:09,254889
36833800,4788,1,2021-06-12T23:33:09,257589
37739996,4797,1,2021-06-13T00:18:10,260290
38730532,4806,1,2021-06-13T01:03:09,262989
39523692,4815,1,2021-06-13T01:48:09,265689
40514388,4824,1,2021-06-13T02:33:09,268389
41292944,4833,1,2021-06-13T03:18:09,271089
41842848,4842,1,2021-06-13T04:03:10,273790
42906484,4851,1,2021-06-13T04:48:09,276489
43742388,4860,1,2021-06-13T05:33:09,279189
44399012,4869,1,2021-06-13T06:18:09,281889
45270724,4878,1,2021-06-13T07:03:09,284589
45955492,4887,1,2021-06-13T07:48:09,287289
46652864,4896,1,2021-06-13T08:33:10,289990
47434820,4905,1,2021-06-13T09:18:09,292689
48013468,4914,1,2021-06-13T10:03:09,295389
48823040,4923,1,2021-06-13T10:48:09,298089
49422116,4932,1,2021-06-13T11:33:09,300789
49877208,4941,1,2021-06-13T12:18:09,303489
50802504,4950,1,2021-06-13T13:03:09,306189
51509912,4959,1,2021-06-13T13:48:09,308889
51988028,4968,1,2021-06-13T14:33:09,311589
52715112,4977,1,2021-06-13T15:18:10,314290
53206520,4986,1,2021-06-13T16:03:10,316990
53786688,4995,1,2021-06-13T16:48:09,319689
54458904,5004,1,2021-06-13T17:33:09,322389
54969560,5013,1,2021-06-13T18:18:09,325089
55485856,5022,1,2021-06-13T19:03:09,327789
56183128,5031,1,2021-06-13T19:48:09,330489
56712820,5040,1,2021-06-13T20:33:10,333190
57158696,5049,1,2021-06-13T21:18:09,335889
57880648,5058,1,2021-06-13T22:03:09,338589
58154116,5067,1,2021-06-13T22:48:09,341289
58613248,5076,1,2021-06-13T23:33:09,343989
59076608,5085,1,2021-06-14T00:18:09,346689
59544224,5094,1,2021-06-14T01:03:09,349389
60301376,5103,1,2021-06-14T01:48:09,352089
60588180,5112,1,2021-06-14T02:33:11,354791
61166544,5121,1,2021-06-14T03:18:09,357489
61555668,5130,1,2021-06-14T04:03:09,360189
61751304,5139,1,2021-06-14T04:48:10,362890
62144724,5148,1,2021-06-14T05:33:10,365590
62740296,5157,1,2021-06-14T06:18:09,368289
62940276,5166,1,2021-06-14T07:03:09,370989
63443456,5175,1,2021-06-14T07:48:09,373689
63646020,5184,1,2021-06-14T08:33:10,376390
64155696,5193,1,2021-06-14T09:18:09,379089
64566812,5202,1,2021-06-14T10:03:09,381789
64773500,5211,1,2021-06-14T10:48:09,384489
65189160,5220,1,2021-06-14T11:33:09,387189
65398140,5229,1,2021-06-14T12:18:09,389889
65713044,5238,1,2021-06-14T13:03:09,392589
66241752,5247,1,2021-06-14T13:48:09,395289
66241752,5256,1,2021-06-14T14:33:09,397989
66668224,5265,1,2021-06-14T15:18:09,400689
66990140,5274,1,2021-06-14T16:03:09,403389
67422120,5283,1,2021-06-14T16:48:09,406089
67748192,5292,1,2021-06-14T17:33:09,408789
67966568,5301,1,2021-06-14T18:18:09,411489
68185752,5310,1,2021-06-14T19:03:09,414189
68626544,5319,1,2021-06-14T19:48:09,416889
68959264,5328,1,2021-06-14T20:33:09,419589
69182088,5337,1,2021-06-14T21:18:10,422290
69293808,5346,1,2021-06-14T22:03:09,424989
69630208,5355,1,2021-06-14T22:48:09,427689
69855504,5364,1,2021-06-14T23:33:10,430390
69968464,5373,1,2021-06-15T00:18:09,433089
70308592,5382,1,2021-06-15T01:03:09,435789
70422384,5391,1,2021-06-15T01:48:10,438490
70765008,5400,1,2021-06-15T02:33:10,441190
71109536,5409,1,2021-06-15T03:18:09,443889
71224792,5418,1,2021-06-15T04:03:09,446589
71340272,5427,1,2021-06-15T04:48:10,449290
71804288,5436,1,2021-06-15T05:33:09,451989
72037576,5445,1,2021-06-15T06:18:09,454689
72154544,5454,1,2021-06-15T07:03:09,457389
72389120,5463,1,2021-06-15T07:48:09,460089
72506736,5472,1,2021-06-15T08:33:09,462789
72742608,5481,1,2021-06-15T09:18:09,465489
72860872,5490,1,2021-06-15T10:03:09,468189
72979352,5499,1,2021-06-15T10:48:10,470890
73216960,5508,1,2021-06-15T11:33:09,473589
73455440,5517,1,2021-06-15T12:18:10,476290
73575024,5526,1,2021-06-15T13:03:09,478989
73814824,5535,1,2021-06-15T13:48:10,481690
73935056,5544,1,2021-06-15T14:33:09,484389
74176176,5553,1,2021-06-15T15:18:09,487089
74297072,5562,1,2021-06-15T16:03:09,489789
74418192,5571,1,2021-06-15T16:48:09,492489
74539536,5580,1,2021-06-15T17:33:09,495189
74539536,5589,1,2021-06-15T18:18:09,497889
74904896,5598,1,2021-06-15T19:03:10,500590
75027128,5607,1,2021-06-15T19:48:09,503289
75149584,5616,1,2021-06-15T20:33:09,505989
75395184,5625,1,2021-06-15T21:18:10,508690
75518312,5634,1,2021-06-15T22:03:09,511389
75641680,5643,1,2021-06-15T22:48:09,514089
75889088,5652,1,2021-06-15T23:33:10,516790
75889088,5661,1,2021-06-16T00:18:10,519490
76261896,5670,1,2021-06-16T01:03:09,522189
76261896,5679,1,2021-06-16T01:48:09,524889
76511584,5688,1,2021-06-16T02:33:09,527589
76762192,5697,1,2021-06-16T03:18:09,530289
76762192,5706,1,2021-06-16T04:03:10,532990
77013712,5715,1,2021-06-16T04:48:10,535690
77266168,5724,1,2021-06-16T05:33:09,538389
77392744,5733,1,2021-06-16T06:18:09,541089
77392744,5742,1,2021-06-16T07:03:10,543790
77519552,5751,1,2021-06-16T07:48:09,546489
77901368,5760,1,2021-06-16T08:33:09,549189
77901368,5769,1,2021-06-16T09:18:10,551890
78029104,5778,1,2021-06-16T10:03:09,554589
78157088,5787,1,2021-06-16T10:48:09,557289
78285296,5796,1,2021-06-16T11:33:09,559989
78413744,5805,1,2021-06-16T12:18:09,562689
78413744,5814,1,2021-06-16T13:03:09,565389
78542424,5823,1,2021-06-16T13:48:09,568089
78671344,5832,1,2021-06-16T14:33:09,570789
78800504,5841,1,2021-06-16T15:18:09,573489
79059536,5850,1,2021-06-16T16:03:10,576190
79059536,5859,1,2021-06-16T16:48:10,578890
79189400,5868,1,2021-06-16T17:33:09,581589
79319512,5877,1,2021-06-16T18:18:09,584289
79319512,5886,1,2021-06-16T19:03:09,586989
79449864,5895,1,2021-06-16T19:48:09,589689
79711280,5904,1,2021-06-16T20:33:10,592390
79711280,5913,1,2021-06-16T21:18:09,595089
79711280,5922,1,2021-06-16T22:03:09,597789
79842344,5931,1,2021-06-16T22:48:10,600490
79973664,5940,1,2021-06-16T23:33:09,603189
80105216,5949,1,2021-06-17T00:18:09,605889
80237000,5958,1,2021-06-17T01:03:09,608589
80237000,5967,1,2021-06-17T01:48:09,611289
80369040,5976,1,2021-06-17T02:33:09,613989
80633832,5985,1,2021-06-17T03:18:09,616689
80633832,5994,1,2021-06-17T04:03:09,619389
80766600,6003,1,2021-06-17T04:48:09,622089
80899608,6012,1,2021-06-17T05:33:09,624789
80899608,6021,1,2021-06-17T06:18:09,627489
81166368,6030,1,2021-06-17T07:03:09,630189
81166368,6039,1,2021-06-17T07:48:09,632889
81300112,6048,1,2021-06-17T08:33:09,635589
81300112,6057,1,2021-06-17T09:18:10,638290
81434096,6066,1,2021-06-17T10:03:10,640990
81568344,6075,1,2021-06-17T10:48:09,643689
81568344,6084,1,2021-06-17T11:33:09,646389
81702816,6093,1,2021-06-17T12:18:09,649089
81837544,6102,1,2021-06-17T13:03:09,651789
81702816,6111,1,2021-06-17T13:48:09,654489
81837544,6120,1,2021-06-17T14:33:09,657189
81837544,6129,1,2021-06-17T15:18:09,659889
81837544,6138,1,2021-06-17T16:03:09,662589
81972528,6147,1,2021-06-17T16:48:10,665290
82107744,6156,1,2021-06-17T17:33:10,667990
82243232,6165,1,2021-06-17T18:18:10,670690
82107744,6174,1,2021-06-17T19:03:09,673389
82243232,6183,1,2021-06-17T19:48:09,676089
82243232,6192,1,2021-06-17T20:33:09,678789
82378952,6201,1,2021-06-17T21:18:09,681489
82514928,6210,1,2021-06-17T22:03:09,684189
82514928,6219,1,2021-06-17T22:48:09,686889
82514928,6228,1,2021-06-17T23:33:09,689589
82651152,6237,1,2021-06-18T00:18:09,692289
82651152,6246,1,2021-06-18T01:03:09,694989
82787632,6255,1,2021-06-18T01:48:10,697690
82514928,6264,1,2021-06-18T02:33:09,700389
82651152,6273,1,2021-06-18T03:18:09,703089
82514928,6282,1,2021-06-18T04:03:10,705790
82651152,6291,1,2021-06-18T04:48:11,708491
82787632,6300,1,2021-06-18T05:33:10,711190
82787632,6309,1,2021-06-18T06:18:09,713889
82924352,6318,1,2021-06-18T07:03:10,716590
82924352,6327,1,2021-06-18T07:48:09,719289
83061328,6336,1,2021-06-18T08:33:09,721989
83198560,6345,1,2021-06-18T09:18:09,724689
83198560,6354,1,2021-06-18T10:03:09,727389
83198560,6363,1,2021-06-18T10:48:09,730089
83336040,6372,1,2021-06-18T11:33:09,732789
83336040,6381,1,2021-06-18T12:18:09,735489
83473768,6390,1,2021-06-18T13:03:09,738189
83473768,6399,1,2021-06-18T13:48:09,740889
83611760,6408,1,2021-06-18T14:33:09,743589
83473768,6417,1,2021-06-18T15:18:09,746289
83611760,6426,1,2021-06-18T16:03:10,748990
83611760,6435,1,2021-06-18T16:48:09,751689
83749992,6444,1,2021-06-18T17:33:09,754389
83749992,6453,1,2021-06-18T18:18:09,757089
83611760,6462,1,2021-06-18T19:03:09,759789
83749992,6471,1,2021-06-18T19:48:10,762490
0,6480,1,2021-06-18T20:43:09,765789
58798080,6489,1,2021-06-18T21:48:09,769689
59076608,6498,1,2021-06-18T22:33:09,772389
59356660,6507,1,2021-06-18T23:18:09,775089
59921412,6516,1,2021-06-19T00:03:09,777789
60111048,6525,1,2021-06-19T00:48:09,780489
60396804,6534,1,2021-06-19T01:33:09,783189
60973056,6543,1,2021-06-19T02:18:09,785889
61458124,6552,1,2021-06-19T03:03:10,788590
61653396,6561,1,2021-06-19T03:48:09,791289
61947652,6570,1,2021-06-19T04:33:09,793989
62441692,6579,1,2021-06-19T05:18:09,796689
62640580,6588,1,2021-06-19T06:03:09,799389
63140996,6597,1,2021-06-19T06:48:09,802089
63544648,6606,1,2021-06-19T07:33:09,804789
63747584,6615,1,2021-06-19T08:18:09,807489
64155696,6624,1,2021-06-19T09:03:09,810189
64258188,6633,1,2021-06-19T09:48:09,812889
64566812,6642,1,2021-06-19T10:33:10,815590
64980948,6651,1,2021-06-19T11:18:09,818289
65293556,6660,1,2021-06-19T12:03:09,820989
65502920,6669,1,2021-06-19T12:48:10,823690
65713044,6678,1,2021-06-19T13:33:10,826390
65713044,6687,1,2021-06-19T14:18:09,829089
66135624,6696,1,2021-06-19T15:03:09,831789
66561316,6705,1,2021-06-19T15:48:09,834489
66561316,6714,1,2021-06-19T16:33:09,837189
66882636,6723,1,2021-06-19T17:18:09,839889
66990140,6732,1,2021-06-19T18:03:11,842591
67205736,6741,1,2021-06-19T18:48:10,845290
67422120,6750,1,2021-06-19T19:33:10,847990
67748192,6759,1,2021-06-19T20:18:09,850689
67857280,6768,1,2021-06-19T21:03:10,853390
67966568,6777,1,2021-06-19T21:48:09,856089
68185752,6786,1,2021-06-19T22:33:09,858789
68516040,6795,1,2021-06-19T23:18:09,861489
68848144,6804,1,2021-06-20T00:03:09,864189
68848144,6813,1,2021-06-20T00:48:10,866890
69070576,6822,1,2021-06-20T01:33:10,869590
69405736,6831,1,2021-06-20T02:18:10,872290
69630208,6840,1,2021-06-20T03:03:10,874990
69855504,6849,1,2021-06-20T03:48:09,877689
69968464,6858,1,2021-06-20T04:33:10,880390
70081640,6867,1,2021-06-20T05:18:09,883089
70308592,6876,1,2021-06-20T06:03:10,885790
70422384,6885,1,2021-06-20T06:48:09,888489
70765008,6894,1,2021-06-20T07:33:10,891190
70994480,6903,1,2021-06-20T08:18:09,893889
70994480,6912,1,2021-06-20T09:03:10,896590
71340272,6921,1,2021-06-20T09:48:09,899289
71455952,6930,1,2021-06-20T10:33:09,901989
71455952,6939,1,2021-06-20T11:18:10,904690
71687968,6948,1,2021-06-20T12:03:09,907389
71804288,6957,1,2021-06-20T12:48:09,910089
72037576,6966,1,2021-06-20T13:33:09,912789
72154544,6975,1,2021-06-20T14:18:09,915489
72389120,6984,1,2021-06-20T15:03:09,918189
72624568,6993,1,2021-06-20T15:48:09,920889
72742608,7002,1,2021-06-20T16:33:09,923589
72860872,7011,1,2021-06-20T17:18:09,926289
73098048,7020,1,2021-06-20T18:03:10,928990
73216960,7029,1,2021-06-20T18:48:09,931689
73216960,7038,1,2021-06-20T19:33:09,934389
73336096,7047,1,2021-06-20T20:18:09,937089
73575024,7056,1,2021-06-20T21:03:09,939789
73935056,7065,1,2021-06-20T21:48:09,942489
73935056,7074,1,2021-06-20T22:33:11,945191
74055504,7083,1,2021-06-20T23:18:09,947889
74297072,7092,1,2021-06-21T00:03:09,950589
74539536,7101,1,2021-06-21T00:48:10,953290
74418192,7110,1,2021-06-21T01:33:09,955989
74782880,7119,1,2021-06-21T02:18:09,958689
74904896,7128,1,2021-06-21T03:03:09,961389
75027128,7137,1,2021-06-21T03:48:10,964090
75149584,7146,1,2021-06-21T04:33:09,966789
75149584,7155,1,2021-06-21T05:18:10,969490
75518312,7164,1,2021-06-21T06:03:09,972189
75641680,7173,1,2021-06-21T06:48:09,974889
75765272,7182,1,2021-06-21T07:33:09,977589
76013128,7191,1,2021-06-21T08:18:09,980289
76013128,7200,1,2021-06-21T09:03:09,982989
76137400,7209,1,2021-06-21T09:48:09,985689
76386624,7218,1,2021-06-21T10:33:09,988389
76511584,7227,1,2021-06-21T11:18:09,991089
76636768,7236,1,2021-06-21T12:03:09,993789
76762192,7245,1,2021-06-21T12:48:09,996489
76887832,7254,1,2021-06-21T13:33:09,999189
77013712,7263,1,2021-06-21T14:18:09,1001889
77139824,7272,1,2021-06-21T15:03:09,1004589
77392744,7281,1,2021-06-21T15:48:09,1007289
77519552,7290,1,2021-06-21T16:33:09,1009989
77519552,7299,1,2021-06-21T17:18:10,1012690
77646584,7308,1,2021-06-21T18:03:10,1015390
70765008,2646,2,2021-06-10T00:02:44,164
70765008,2655,2,2021-06-10T00:09:15,555
70650592,2664,2,2021-06-10T00:15:45,945
70765008,2673,2,2021-06-10T00:22:14,1334
70765008,2682,2,2021-06-10T00:28:42,1722
70765008,2691,2,2021-06-10T00:35:10,2110
70879640,2700,2,2021-06-10T00:41:38,2498
70879640,2709,2,2021-06-10T00:48:12,2892
70994480,2718,2,2021-06-10T00:54:41,3281
71109536,2727,2,2021-06-10T01:01:09,3669
70994480,2736,2,2021-06-10T01:07:39,4059
70994480,2745,2,2021-06-10T01:14:07,4447
71109536,2754,2,2021-06-10T01:20:37,4837
71109536,2763,2,2021-06-10T01:27:06,5226
71109536,2772,2,2021-06-10T01:33:35,5615
70994480,2781,2,2021-06-10T01:40:03,6003
71109536,2790,2,2021-06-10T01:46:32,6392
71109536,2799,2,2021-06-10T01:53:00,6780
71109536,2808,2,2021-06-10T01:59:28,7168
71224792,2817,2,2021-06-10T02:05:57,7557
71109536,2826,2,2021-06-10T02:12:26,7946
71224792,2835,2,2021-06-10T02:18:55,8335
71224792,2844,2,2021-06-10T02:25:25,8725
71224792,2853,2,2021-06-10T02:31:54,9114
71340272,2862,2,2021-06-10T02:38:22,9502
70650592,2871,2,2021-06-10T02:44:51,9891
70650592,2880,2,2021-06-10T02:51:20,10280
70422384,2889,2,2021-06-10T02:57:49,10669
70650592,2898,2,2021-06-10T03:04:17,11057
70650592,2907,2,2021-06-10T03:10:47,11447
70536384,2916,2,2021-06-10T03:17:15,11835
70650592,2925,2,2021-06-10T03:23:46,12226
70650592,2934,2,2021-06-10T03:30:17,12617
70650592,2943,2,2021-06-10T03:36:46,13006
70650592,2952,2,2021-06-10T03:43:15,13395
70650592,2961,2,2021-06-10T03:49:44,13784
70650592,2970,2,2021-06-10T03:56:13,14173
70879640,2979,2,2021-06-10T04:02:41,14561
