ph,batch_id,id,timestamp,timedelta
8.5,4527,1,2021-06-12T01:48:10,179290
8.53,4536,1,2021-06-12T02:33:09,181989
8.55,4545,1,2021-06-12T03:18:09,184689
8.56,4554,1,2021-06-12T04:03:09,187389
8.57,4563,1,2021-06-12T04:48:09,190089
8.59,4572,1,2021-06-12T05:33:09,192789
8.61,4581,1,2021-06-12T06:18:09,195489
8.63,4590,1,2021-06-12T07:03:09,198189
8.64,4599,1,2021-06-12T07:48:10,200890
8.66,4608,1,2021-06-12T08:33:10,203590
8.69,4617,1,2021-06-12T09:18:09,206289
8.68,4626,1,2021-06-12T10:03:10,208990
8.7,4635,1,2021-06-12T10:48:09,211689
8.7,4644,1,2021-06-12T11:33:11,214391
8.73,4653,1,2021-06-12T12:18:09,217089
8.72,4662,1,2021-06-12T13:03:09,219789
8.73,4671,1,2021-06-12T13:48:09,222489
8.75,4680,1,2021-06-12T14:33:09,225189
8.75,4689,1,2021-06-12T15:18:09,227889
8.77,4698,1,2021-06-12T16:03:11,230591
8.79,4707,1,2021-06-12T16:48:10,233290
8.8,4716,1,2021-06-12T17:33:10,235990
8.8,4725,1,2021-06-12T18:18:09,238689
8.82,4734,1,2021-06-12T19:03:09,241389
8.83,4743,1,2021-06-12T19:48:09,244089
8.85,4752,1,2021-06-12T20:33:09,246789
8.88,4761,1,2021-06-12T21:18:11,249491
8.91,4770,1,2021-06-12T22:03:09,252189
8.94,4779,1,2021-06-12T22:48:09,254889
8.96,4788,1,2021-06-12T23:33:09,257589
8.97,4797,1,2021-06-13T00:18:10,260290
8.97,4806,1,2021-06-13T01:03:09,262989
8.99,4815,1,2021-06-13T01:48:09,265689
9,4824,1,2021-06-13T02:33:09,268389
9.01,4833,1,2021-06-13T03:18:09,271089
9.01,4842,1,2021-06-13T04:03:10,273790
9.01,4851,1,2021-06-13T04:48:09,276489
9.02,4860,1,2021-06-13T05:33:09,279189
9.03,4869,1,2021-06-13T06:18:09,281889
9.05,4878,1,2021-06-13T07:03:09,284589
9.06,4887,1,2021-06-13T07:48:09,287289
9.07,4896,1,2021-06-13T08:33:10,289990
9.09,4905,1,2021-06-13T09:18:09,292689
9.09,4914,1,2021-06-13T10:03:09,295389
9.09,4923,1,2021-06-13T10:48:09,298089
