id,batch_id,diff,timedelta
1,6453,138232,757089
1,6471,138232,762490
1,6498,278528,772389
1,6507,465908,775089
1,6516,564752,777789
1,6525,378576,780489
1,6534,380660,783189
1,6543,480648,785889
1,6552,485068,788590
1,6561,486852,791289
1,6570,391984,793989
1,6579,494040,796689
1,6588,99536,799389
1,6597,400700,802089
1,6606,303020,804789
1,6615,202936,807489
1,6624,306368,810189
1,6633,204804,812889
1,6642,205932,815590
1,6651,517204,818289
1,6660,416424,820989
1,6669,313760,823690
1,6678,210124,826390
1,6696,211672,831789
1,6705,425692,834489
1,6714,319564,837189
1,6732,107504,842591
1,6741,107900,845290
1,6750,216384,847990
1,6759,326072,850689
1,6768,109088,853390
1,6777,218376,856089
1,6786,219184,858789
1,6795,330288,861489
1,6804,442400,864189
1,6813,221600,866890
1,6822,111312,869590
1,6831,223648,872290
1,6840,224472,874990
1,6849,449768,877689
1,6858,225712,880390
1,6867,113176,883089
1,6876,226952,885790
1,6885,113792,888489
1,6894,342624,891190
1,6903,343888,893889
1,6921,345792,899289
1,6930,231160,901989
1,6948,232016,907389
1,6966,233288,912789
1,6975,116968,915489
1,6984,234576,918189
1,6993,352840,920889
1,7002,353488,923589
1,7011,236304,926289
1,7020,237176,928990
1,7029,118912,931689
1,7038,118912,934389
1,7047,119136,937089
1,7065,360032,942489
1,7083,120448,947889
1,7092,241568,950589
1,7101,242464,953290
1,7119,243344,958689
1,7128,122016,961389
1,7137,244248,964090
1,7146,244688,966789
1,7164,368728,972189
1,7173,369408,974889
1,7182,123592,977589
1,7191,371448,980289
1,7200,247856,982989
1,7209,124272,985689
1,7218,249224,988389
1,7227,249688,991089
1,7236,250144,993789
1,7245,125424,996489
1,7254,125640,999189
1,7263,251520,1001889
1,7281,126576,1007289
1,7290,253384,1009989
1,7299,126808,1012690
1,7308,253840,1015390
2,2646,114416,164
2,2655,114416,555
2,2718,114840,3281
2,2727,115056,3669
2,2754,115056,4837
2,2817,115256,7557
2,2835,115256,8335
2,2853,115256,9114
2,2862,115480,9502
2,2898,114208,11057
2,2925,114208,12226
2,2934,114208,12617
2,2943,114208,13006
2,2979,229048,14561
2,3024,114632,16505
2,3087,114840,19230
2,3105,114840,20005
2,3123,115256,20786
2,3132,115056,21174
2,3177,230736,23117
2,3186,115256,23504
2,3204,230736,24282
2,3231,231584,25449
2,3330,232856,29720
2,3357,232856,30887
2,3384,350256,32055
2,3429,116752,33997
2,3438,116752,34387
2,3447,116968,34779
2,3456,117184,35167
2,3492,117392,36726
2,3510,117392,37504
2,3537,117392,38673
2,3555,117616,39453
2,3573,117832,40229
2,3627,118040,42567
2,3690,236744,45285
2,3708,118480,46066
2,3726,118480,46844
2,3735,237176,47234
2,3798,237608,49953
2,3807,118912,50342
2,3825,119136,51121
2,3834,118912,51512
2,3879,239368,53456
2,3897,119344,54233
2,3906,119584,54624
2,3951,119584,56569
2,3960,119584,56956
2,4005,120016,58898
2,4032,120016,60065
2,4041,120232,60453
2,4086,240680,62394
2,4122,120672,63951
2,4131,120672,64341
2,4167,120896,65907
2,4185,36900.5,66687
2,4194,1725388,68974
2,4203,251267,71672
2,4212,88434,74373
2,4221,96423,77072
2,4230,87112,79772
2,4239,88780,82472
2,4248,60465,85172
2,4257,97364,87872
2,4266,155689,90574
2,4275,57130,93272
2,4284,71524,95972
2,4293,118652,98672
2,4302,148331,101372
2,4311,116202,104072
2,4320,63336,106772
2,4329,35764,109472
2,4338,146004,112172
2,4347,149135,114872
2,4356,84269,117572
2,4365,85383,120272
2,4374,135705,122973
2,4383,49138,125672
2,4392,159916,128372
2,4401,172152,131072
2,4410,115204,133773
2,4419,173520,136472
2,4428,226094,139172
2,4437,144059,141873
2,4446,227315,144572
2,4455,143232,147272
2,4464,179768,149972
2,4473,351615,152674
2,4482,1508612,165789
2,4491,527442,168489
2,4500,407241,171189
2,4509,333022,173889
2,4518,376847,176589
2,4527,379587,179290
2,4536,497436,181989
2,4545,393240,184689
2,4554,501240,187389
2,4563,706536,190089
2,4572,650602,192789
2,4581,533612,195489
2,4590,601366,198189
2,4599,842044,200890
2,4608,758736,203590
2,4617,791910,206289
2,4626,613238,208990
2,4635,864388,211689
2,4644,927308,214391
2,4653,666704,217089
2,4662,818220,219789
2,4671,923340,222489
2,4680,1064546,225189
2,4689,999478,227889
2,4698,889736,230591
2,4707,850158,233290
2,4716,845184,235990
2,4725,1171652,238689
2,4734,991572,241389
2,4743,1089514,244089
2,4752,1125660,246789
2,4761,1165136,249491
2,4770,1107520,252189
2,4779,680484,254889
2,4788,919480,257589
2,4797,1061860,260290
2,4806,978152,262989
2,4815,948684,265689
2,4824,1036844,268389
2,4833,943640,271089
2,4842,1095120,273790
2,4851,991260,276489
2,4860,1015048,279189
2,4869,1175872,281889
2,4878,707640,284589
2,4887,942892,287289
2,4896,1105992,289990
2,4905,977976,292689
2,4914,918556,295389
2,4923,779576,298089
2,4932,870960,300789
2,4941,564476,303489
2,4950,737796,306189
2,4959,915044,308889
2,4968,843352,311589
2,4977,855792,314290
2,4986,952632,316990
2,4995,701108,319689
2,5004,887696,322389
2,5013,719312,325089
2,5022,364288,327789
2,5031,643964,330489
2,5040,372388,333190
2,5049,470196,335889
2,5058,570996,338589
2,5067,479768,341289
2,5076,581552,343989
2,5085,585828,346689
2,5094,592304,349389
2,5103,497672,352089
2,5112,401432,354791
2,5121,505956,357489
2,5130,306368,360189
2,5139,308624,362890
2,5148,518148,365590
2,5157,313760,368289
2,5166,421032,370989
