id,batch_id,diff,hour
2,7875,295508,16.169999999999998
2,7884,264251,16.919999999999998
2,7893,329767,17.669999999999998
2,7902,361563,18.419999999999998
2,7911,409438,19.169999999999998
2,7920,391869,19.919999999999998
2,7929,348310,20.669999999999998
2,7938,327333,21.419999999999998
2,7947,379940,22.169999999999998
2,7956,393607,22.919999999999998
2,7965,436353,23.669999999999998
2,7974,426170,24.419999999999998
2,7983,429942,25.169999999999998
2,7992,480000,25.919999999999998
2,8001,569852,26.669999999999998
2,8010,670201,27.419999999999998
2,8019,669791,28.169999999999998
2,8028,702390,28.919999999999998
2,8037,685398,29.669999999999998
2,8046,762594,30.419999999999998
2,8055,717614,31.169999999999998
2,8064,554748,31.919999999999998
2,8073,626374,32.67
2,8082,873696,33.42
2,8091,672366,34.17
2,8100,775294,34.92
2,8109,765524,35.67
