densidade,batch_id,id,timestamp,hour
10026488,8289,1,2021-06-30T22:35:48,50.83666666666666
10026488,8298,1,2021-06-30T23:20:48,51.58666666666666
9995945,8307,1,2021-07-01T00:05:48,52.33666666666666
10026488,8316,1,2021-07-01T00:50:48,53.08666666666666
10072834,8325,1,2021-07-01T01:35:48,53.83666666666666
10036730,8334,1,2021-07-01T02:20:48,54.58666666666666
10047006,8343,1,2021-07-01T03:05:48,55.33666666666666
10104092,8352,1,2021-07-01T03:50:48,56.08666666666666
10348056,8361,1,2021-07-01T04:35:48,56.83666666666666
10264824,8370,1,2021-07-01T05:20:48,57.58666666666666
10467922,8379,1,2021-07-01T06:05:48,58.33666666666666
10701358,8388,1,2021-07-01T06:50:48,59.08666666666666
9975740,8397,1,2021-07-01T07:35:48,59.83666666666666
10036730,8406,1,2021-07-01T08:20:48,60.58666666666666
10026488,8415,1,2021-07-01T09:05:48,61.33666666666666
10052156,8424,1,2021-07-01T09:50:48,62.08666666666666
10016276,8433,1,2021-07-01T10:35:48,62.83666666666666
9965683,8442,1,2021-07-01T11:20:48,63.58666666666666
9995945,8451,1,2021-07-01T12:05:48,64.33666666666666
10031605,8460,1,2021-07-01T12:50:48,65.08666666666666
10021376,8469,1,2021-07-01T13:35:48,65.83666666666666
10001016,8478,1,2021-07-01T14:20:48,66.58666666666666
9752058,8487,1,2021-07-01T15:05:48,67.33666666666666
9975740,8496,1,2021-07-01T15:50:48,68.08666666666666
10006094,8505,1,2021-07-01T16:35:48,68.83666666666666
10062479,8514,1,2021-07-01T17:20:48,69.58666666666666
10011181,8523,1,2021-07-01T18:05:48,70.33666666666666
9980779,8532,1,2021-07-01T18:50:48,71.08666666666666
9970707,8541,1,2021-07-01T19:35:48,71.83666666666666
10041865,8550,1,2021-07-01T20:20:48,72.58666666666666
10021376,8559,1,2021-07-01T21:05:48,73.33666666666666
10036730,8568,1,2021-07-01T21:50:48,74.08666666666666
10011181,8577,1,2021-07-01T22:35:48,74.83666666666666
10006094,8586,1,2021-07-01T23:20:48,75.58666666666666
