Lambda	440	470	495	530	595	634	660	684	branco	full
nm	u.a	u.a	u.a	u.a	u.a	u.a	u.a	u.a	u.a	u.a
200.8255005	0.002079178113	0.002736451337	0.005764116533	0.004025339615	0.004024813883	0.004506355617	0.002850072924	2.74376478E-4	0.01353239547	0.006002367008
201.0279999	0.003518609097	0.004571732599	0.004972639959	0.003827372333	0.005807332229	0.002364721382	0.002624696586	0.001753219287	0.01145777572	0.003325255122
201.2305145	0.003067022888	0.002002338879	0.001976335887	0.003035502275	0.002977937693	0.003266462125	0.002765556797	-3.255314368E-5	0.01199774537	0.002057149308
201.4330292	0.005550746806	0.004882318433	0.004152896348	0.007447349839	0.003798462218	0.001942030271	0.005526418332	7.766250055E-4	0.01253771503	0.004311559256
201.6355743	0.001768712653	0.002708216198	-0.002800790593	0.004081902094	-0.001068096492	-7.631920744E-4	4.836203007E-4	0.001613705768	0.008644250222	-2.818012763E-5
201.8381348	0.004901591688	0.003216447774	0.00138272834	0.005354550201	-7.780834858E-5	-5.377568887E-4	0.004315020051	1.348630176E-4	0.00588756334	0.002028969117
202.0407104	0.003941971343	0.007197596133	0.004463833757	0.009059371427	0.002327176975	-5.870708264E-5	0.005808138754	0.001446289592	0.01361765433	0.003099814057
202.2433014	0.01015128102	0.008919936605	0.004774770699	0.01041686349	0.005694156513	0.00371733238	0.008090075105	0.002004343551	0.01628908329	0.008848560043
202.4459076	0.007018402219	0.006124662701	0.001948068733	0.005580799188	0.002072531497	-2.34828326E-6	0.004033299163	0.002674008254	0.01137251779	0.00321253459
202.6485443	0.01390509121	0.01072698273	0.009919368662	0.01330153272	0.01019289438	0.006112581585	0.007498462219	0.002534494735	0.02077935636	0.01022938639
202.851181	0.003264591796	0.001239991281	8.244547644E-5	0.002045664471	-0.001577387447	0.001096648281	0.001187921735	0.003008840606	0.009098961018	0.003127994249
203.053833	0.003123471281	-3.058802031E-5	-3.132928105E-4	-1.036972826E-4	-0.002397911856	-0.001608574064	-0.001911004423	0.001195165445	0.0092694778	0.002000789158
203.2565155	0.007611108944	0.005531725474	0.007007865235	0.006202982739	0.004392635077	0.003604614874	0.004202331882	0.004180753604	0.01495336834	0.008425857872
203.459198	-7.15011498E-4	7.882297505E-4	0.001410995377	7.16453942E-4	1.768371585E-4	8.21899157E-5	0.002258459805	0.002953035058	0.00867266953	0.003043453675
203.661911	-3.48097703E-4	-0.001752928831	0.002202471951	6.033296231E-4	3.466008347E-4	5.330602871E-4	-7.982082752E-5	0.003008840606	0.006541210692	0.003099814057
203.864624	0.003772626398	0.00115528598	0.004181163386	0.002526442753	0.003402346978	0.001913850894	0.001976739382	0.003483186243	0.01304926537	0.007439553738
204.0673676	4.421781632E-4	0.00112705084	0.003248351626	0.003883934347	0.00178959209	0.001209365902	0.001300609903	0.003483186243	0.01347555686	0.004931522068
204.2701263	0.003518609097	0.003272918053	0.006470791996	0.00705141481	0.007391793188	0.006168940105	0.003526202403	0.004041240085	0.01529440191	0.006988671608
204.4729004	-0.001956873573	5.905840662E-4	4.499167262E-4	-7.824430941E-4	-0.002709145425	0.002308362396	-0.001065842807	3.859872813E-4	0.008189538494	0.002789832652
204.6756897	0.003546833294	0.003216447774	0.006979598198	0.004958615173	0.00255352864	0.003773691133	0.004089643713	7.766250055E-4	0.01248087641	0.007185932249
204.8784943	0.004619350657	0.003611739259	0.006781728938	0.007249382325	0.00294964388	0.003801870625	0.00279372884	0.001195165445	0.01523756329	0.006255988497
205.0813141	7.526436821E-4	7.599946111E-4	0.001693665632	0.002809253521	0.002977937693	4.203426943E-4	0.002033083467	7.766250055E-4	0.01091780607	0.002987093525
205.2841492	0.003941971343	0.002792921383	0.005651048385	0.005722204223	0.002836468164	0.002928309375	0.001695018727	-0.001316077076	0.01125883963	0.004959702492
205.4869995	0.005212057382	0.003809384769	0.002202471951	0.004110183101	0.003515522694	0.003012847388	0.002821900882	0.002255467698	0.009809447452	0.00479062181
205.6898651	0.00286945398	0.003978795372	0.003333152737	0.004704085644	0.003119407455	0.003491897136	0.003075449495	0.003259964753	0.0105767725	0.00216986984
205.8927612	0.00286945398	0.003047037404	0.001665398595	0.005015177652	1.768371585E-4	0.001209365902	9.625452803E-4	0.001027749269	0.007564310916	7.045032107E-4
206.0956573	0.001571143628	-5.952899228E-4	-0.004779481795	-4.713512681E-5	-0.003190142335	-0.001016806695	3.1458796E-4	4.975980264E-4	0.003784523811	-0.001183565357
206.298584	0.00286945398	0.004091735929	0.001524063526	0.004902053159	-0.001775445067	6.739572855E-4	0.006174375769	-4.650449227E-6	0.008985283785	0.003719776869
206.5015106	0.006623264402	0.006519954186	0.003333152737	0.005665642209	0.005948801991	7.303160965E-4	0.002934589284	0.003873823909	0.01333345938	0.004677901044
206.7044678	0.005268505774	0.004712908063	0.002965681488	0.00512830168	6.578342291E-4	-4.532186722E-4	0.002089427551	0.004487683065	0.01017890032	0.004677901044
206.9074249	0.01048997138	0.01004934125	0.00539664505	0.009144214913	0.004251165316	0.003153744387	0.005864482839	0.002506592078	0.01648801938	0.008284957148
